"","scale","shape"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",2.50343285125865,2.89198540271703
"53",1.28750097619572,1.67149039276952
"54",0.371665302360689,0.0631422653033145
"55",1.16028001677382,1.06972969239958
"56",2.49281665445737,2.68689303679855
"57",6.58260509489398,3.30038257379256
"58",1.40318085110518,1.62164957326061
"59",0,0
"60",0,0
"61",1.46299664898382,1.67245892315285
"62",0,0
"63",4.10997290626082,2.83392446198465
"64",1.07169288142664,1.31358540794216
"65",1.36797656760865,1.5725673766202
"66",1.58465653569124,1.67366278851879
"67",1.19961688326689,1.26880922009329
"68",0,0
"69",0,0
"70",0,0
"71",1.90195908280614,2.14907500041035
"72",1.84179027719646,2.1870448363193
"73",5.05196331912747,3.04648306005876
"74",1.68319514805166,1.76602842055477
"75",3.35459723955278,3.05680094732636
"76",0,0
"77",0,0
"78",1.14742810140586,1.42687731256717
"79",4.97179536774201,3.2343457185911
"80",2.65419458937476,2.94302995632443
"81",4.11432544373483,3.31283213866013
"82",2.83845572272628,3.23060656867608
"83",1.579165772131,1.49807181058511
"84",0,0
"85",1.60685554105224,1.90298777938943
"86",0,0
"87",0.912534893118282,0.989027702301958
"88",0,0
"89",1.16028001677382,1.06972969239958
"90",1.579165772131,1.49807181058511
"91",3.24726507254088,3.22563883306622
"92",2.32472267684454,2.72097356382298
"93",0,0
"94",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,0
"100",0,0
"101",0,0
"102",0,0
"103",0,0
"104",0,0
"105",0,0
"106",0,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",1.37250799262838,1.77489766566672
"115",0,0
"116",0,0
"117",0,0
"118",8.38583207296438,3.33135726300695
"119",0,0
"120",0,0
"121",0,0
"122",0,0
"123",0,0
"124",0,0
"125",2.25922763375782,3.10728691349826
"126",1.17911652931462,1.55197347621589
"127",1.14703181651733,1.67627928125813
"128",2.32471961128075,2.40000264350076
"129",0.908238497547481,0.993252795321417
"130",0,0
"131",2.04696232223085,2.04107786615801
"132",8.38583207296438,3.33135726300695
"133",2.44235747212075,2.38187818706749
"134",2.22728655309843,2.00803084208494
"135",0,0
"136",0,0
"137",1.78676021498924,1.68777600346231
"138",0,0
"139",1.10803091980761,1.27176038766444
"140",0.839250314409912,0.976193550753142
"141",1.53585526269794,2.22180335538863
"142",2.40473366666574,3.02732147592101
"143",1.91968765265749,2.15570964128983
"144",2.41087866631098,3.15727733404264
"145",0,0
"146",0,0
"147",0,0
"148",0,0
"149",0,0
"150",0,0
"151",0,0
"152",0,0
"153",0,0
"154",1.61186817596316,2.00225133159895
"155",2.68697159267831,2.8183432883896
"156",1.41050934961082,2.11617638546906
"157",2.18812421768675,2.47157520356399
"158",0,0
"159",0,0
"160",3.33602032402151,2.97044585541963
"161",2.82462824319624,2.95919675581576
"162",2.67245998762942,2.85958975371391
"163",3.49016981391446,3.36404212899447
"164",2.91817368338132,2.35924705540198
"165",0,0
"166",0,0
"167",1.755021170954,2.33384804306099
"168",1.28774014823372,1.76847320037779
"169",1.60807607050891,2.43307637583575
"170",0,0
"171",0,0
"172",0,0
"173",0,0
"174",2.28464798284544,2.38357728182297
"175",1.75094219859321,2.38288302182174
"176",2.02921316390348,2.6723956074191
"177",1.84042235523471,2.455912638535
"178",2.91817368338132,2.35924705540198
"179",2.00331945642252,2.4338771998761
"180",0,0
"181",0,0
"182",0,0
"183",0,0
"184",0,0
"185",0,0
"186",0,0
"187",2.81737906619551,3.16305407236991
"188",3.36151449396377,3.75402846349021
"189",2.77008083681729,3.34573668829407
"190",2.7469934349838,3.56657255103448
"191",3.20632542378666,3.54409866247432
"192",2.07101150545337,2.68324656140255
"193",1.60640443869406,2.3609246382125
"194",4.43083976677526,4.44846617234279
"195",4.48748451206401,4.42906910596218
"196",5.14498606515438,4.66485853370474
"197",3.31792012609009,3.51906136438993
"198",2.47417033084037,3.02485108537021
"199",5.186496291463,4.63761791874481
"200",3.81216801286011,4.11960631605314
"201",2.00473691713584,2.56184859772402
"202",3.02177071123721,3.49907187131267
"203",5.08034372472019,4.82504694456807
"204",2.61909052436907,3.39439694704054
"205",1.48187320195044,1.88595709905421
"206",2.00578188760778,2.73496141626314
"207",1.12166661487306,1.55884065868296
"208",2.10079718542399,2.75303242845111
"209",2.79489529865235,2.80141669821395
"210",1.74327908172033,1.92390831623707
"211",1.6378031828389,2.23053841088357
"212",1.77363274887929,2.28873091700049
"213",2.39867492162054,2.84861521113883
"214",2.18327585470182,2.58809045735141
"215",1.29804782564732,1.68485718655611
"216",2.5586874825097,2.95024458003227
"217",2.21805328860061,2.60364991351183
"218",2.32610133383583,2.319377633578
"219",1.19961688326689,1.26880922009329
"220",1.92976277599398,2.50804900774286
"221",1.8854603798017,2.40797253857154
"222",2.22728655309843,2.00803084208494
"223",2.91817368338132,2.35924705540198
"224",1.37195610993211,1.58869365216497
"225",2.33318008100103,2.77124479584614
"226",1.72137903678091,2.16655955322921
"227",0,0
"228",2.80670433799219,3.0423528687535
"229",2.9233201094952,3.13237903005644
"230",3.06985568373343,3.03074050812025
"231",1.67472683320227,1.78779446001937
"232",1.579165772131,1.49807181058511
"233",1.34072553571795,1.43269426958602
"234",2.40214530180406,2.88010650487031
"235",2.04554075737227,2.39549751273781
"236",2.11006976001849,2.62117022555292
"237",2.31465673037762,3.21021000803528
"238",3.11333465318147,4.00221435104691
"239",1.51931839753957,1.61930779558773
"240",1.22413340299506,1.61603084181577
"241",1.80279472112615,2.71372940216926
"242",3.04072099376367,3.32840555697096
"243",2.32607409570698,2.88309489689538
"244",1.14479752239358,1.31760090789476
"245",0,0
"246",2.39951385160522,2.69390295885533
"247",1.50225793959916,1.71960969286018
"248",2.7027333474995,2.81071167029367
"249",1.95822927570555,2.08883924069526
"250",1.76411275626759,2.46551476719222
"251",2.38895224039856,2.6800822535688
"252",2.09500102004603,2.48870681209359
"253",0,0
"254",0,0
"255",0,0
"256",0,0
"257",0,0
"258",0,0
"259",0,0
"260",0,0
"261",0,0
"262",0,0
"263",0,0
"264",0,0
"265",0,0
"266",0,0
"267",0,0
"268",0,0
"269",0,0
"270",0,0
"271",0,0
"272",0,0
"273",0,0
"274",0,0
"275",0,0
"276",0,0
"277",0,0
"278",0,0
"279",0,0
"280",0,0
"281",0,0
"282",0,0
"283",0,0
"284",0,0
"285",0,0
"286",0,0
"287",0,0
"288",0,0
"289",0,0
"290",0,0
"291",0,0
"292",0,0
"293",0,0
"294",0,0
"295",0,0
"296",0,0
"297",0,0
"298",0,0
"299",0,0
"300",0,0
"301",0,0
"302",0,0
"303",0,0
"304",0,0
"305",0,0
"306",0,0
"307",0,0
"308",0,0
"309",0,0
"310",0,0
"311",0,0
"312",0,0
"313",0,0
"314",0,0
"315",0,0
"316",0,0
"317",0,0
"318",0,0
"319",0,0
"320",0,0
"321",0,0
"322",0,0
"323",0,0
"324",0,0
"325",0,0
"326",0,0
"327",0,0
"328",0,0
"329",0,0
"330",0,0
"331",0,0
"332",0,0
"333",0,0
"334",0,0
"335",0,0
"336",0,0
"337",0,0
"338",0,0
"339",0,0
"340",0,0
"341",0,0
"342",0,0
"343",0,0
"344",0,0
"345",0,0
"346",0,0
"347",0,0
"348",0,0
"349",0,0
"350",0,0
"351",0,0
"352",0,0
"353",0,0
"354",0,0
"355",0,0
"356",0,0
"357",0,0
"358",0,0
"359",0,0
"360",0,0
"361",0,0
"362",0,0
"363",0,0
"364",0,0
"365",0,0
"366",0,0
"367",0,0
"368",0,0
"369",0,0
"370",0,0
"371",0,0
"372",0,0
"373",0,0
"374",0,0
"375",0,0
"376",0,0
"377",0,0
"378",0,0
"379",0,0
"380",0,0
"381",0,0
"382",0,0
"383",0,0
"384",0,0
"385",0,0
"386",0,0
"387",0,0
"388",0,0
"389",0,0
"390",0,0
"391",0,0
"392",0,0
"393",0,0
"394",0,0
"395",0,0
"396",0,0
"397",2.83489990306715,2.63293951978236
"398",0,0
"399",0,0
"400",0,0
"401",0,0
"402",0,0
"403",0,0
"404",0,0
"405",0,0
"406",0,0
"407",0,0
"408",0,0
"409",0,0
"410",0,0
"411",0,0
"412",0,0
"413",0,0
"414",0,0
"415",0,0
"416",0,0
"417",0,0
"418",0,0
"419",0,0
"420",0,0
"421",0,0
"422",0,0
"423",0,0
"424",0,0
"425",0,0
"426",0,0
"427",0,0
"428",0,0
"429",0,0
"430",0,0
"431",0,0
"432",0,0
"433",0,0
"434",1.60441764814217,2.47950543750938
"435",2.58882322349967,3.42641711963191
"436",2.3346307440943,3.69457476962871
"437",2.78849481279199,3.30031988513516
"438",1.62139157616648,2.01951949718449
"439",2.71056856396302,3.77876692224568
"440",2.8066324891396,3.70642605939463
"441",1.66530524374142,2.05104957511203
"442",1.73840415258682,2.18842524861839
"443",1.17559993786589,1.86249096856744
"444",2.18058574067192,3.45058703316751
"445",2.66057016939926,3.26953619456004
"446",2.10548485618126,2.2809256700297
"447",2.04696232223085,2.04107786615801
"448",1.681190444614,2.0571803917578
"449",2.85701539828619,2.70809060987754
"450",3.65342222933754,3.09030281046695
"451",2.87332369553009,3.00453210085008
"452",1.23059926045502,1.62212071937304
"453",1.14841143784635,1.59184739316329
"454",1.90615212020367,2.05004672696719
"455",5.26804393576582,3.24079129837592
"456",1.88863628166736,2.3473026080505
"457",1.62516609133454,2.3617860338802
"458",1.42627616979274,1.83091768451143
"459",2.00340672611679,2.43387752033318
"460",2.41188899324353,3.0027345586297
"461",5.00953759245074,3.24295278129713
"462",2.28753328074073,2.52553770672484
"463",1.39139534679487,1.48438260762908
"464",3.2636599516669,2.7865946067749
"465",1.35600890274903,1.91075862826969
"466",2.28921339847539,2.71393862883017
"467",2.14368207129179,2.45132241274784
"468",1.87648123474999,2.42887884565633
"469",2.00332382049161,2.43562000115942
"470",2.49426160761374,3.02767012887027
"471",1.61999322663522,2.22411663800228
"472",2.08481872922984,2.66396382496309
"473",1.55082055614944,1.76917799744359
"474",1.94012505616078,2.40062177512853
"475",2.62081273756208,2.85199086510321
"476",2.04696232223085,2.04107786615801
"477",1.16028001677382,1.06972969239958
"478",2.00841319810724,2.12756596830503
"479",1.73180682926663,2.18054497769356
"480",1.45718543449847,1.77777518276241
"481",3.88605781094483,3.94276059980656
"482",5.46139425933633,3.70909176942455
"483",2.45699881452291,2.9478654826485
"484",2.21670291727979,2.60908335909245
"485",1.68255449583214,2.04707102662446
"486",2.85177232923483,3.33829129755572
"487",3.42517162220616,3.60363470862071
"488",4.99103517694703,3.66247615381727
"489",3.65968213101888,3.57669218492284
"490",6.96599802374377,4.8381737698027
"491",2.02547551313127,2.42885681650178
"492",1.80010807021664,2.52407696891717
"493",2.23557841212148,3.02401206847563
"494",3.61021355288701,3.80875202262868
"495",2.81072899103085,3.09100493625855
"496",2.75184704082294,3.0724068989639
"497",4.39927858907342,3.40359641257177
"498",1.94751306153429,2.58121281313019
"499",0,0
"500",2.8992751955008,3.34340702385469
"501",4.41334079384455,3.83365156096805
"502",5.39760064939235,3.85387708518347
"503",2.73343977999787,2.90314645614611
"504",4.25810417996487,3.6805202839271
"505",2.74574427730154,3.04059145436258
"506",6.37240946108909,3.96152258609693
"507",3.38948035695678,3.6120842878136
"508",4.3257968036274,3.71241993351395
"509",5.15591300610005,4.1162286871001
"510",3.30948595376085,3.29669056205292
"511",2.86535843843955,3.04152464527495
"512",2.63969545153439,3.15997897255965
"513",0.582966718292016,0.291356131200928
"514",4.2958794736977,4.23877597590735
"515",3.36394429526051,3.68202118050373
"516",3.75359036942454,3.53403271920025
"517",2.55393027732177,2.82114937869024
"518",3.28513343238133,3.62384069005954
"519",2.55619314569575,3.17383081323186
"520",2.62925644072117,3.19870823153166
"521",5.23977627677515,3.56438813935888
"522",3.71313806753968,3.00962498010566
"523",4.20588808703608,3.24218804652411
"524",5.14025895228152,3.7928024643972
"525",2.83039096632827,3.09313764720715
"526",1.579165772131,1.49807181058511
"527",1.5177819680283,1.83691744437687
"528",6.08677686561779,4.46817954420632
"529",3.00810714519298,2.91392046814142
"530",1.66478233544268,2.25591575457573
"531",1.58487311679955,2.46750488610657
"532",1.99597502300672,2.28726156701463
"533",2.59909696221108,3.40728630720297
"534",3.29992813293763,3.69743263448184
"535",1.22795745740937,1.62032707709617
"536",1.54847439987241,2.1673228909421
"537",3.18371557035699,3.72355356004309
"538",2.03460570748099,2.69100318121181
"539",3.59661517869077,3.62220491844205
"540",1.99716500220643,2.21472408452086
"541",0,0
"542",2.50361788121095,2.68508810954058
"543",1.73078358046213,2.04983311648421
"544",1.7164196153192,2.17168923487758
"545",2.79001030176961,2.61481651854301
"546",2.46882469904148,3.06202763928719
"547",1.21651026818706,1.51213628055825
"548",1.68641930238358,1.88779408996661
"549",2.61532770909708,2.84711345863276
"550",2.18214391092378,2.60137805503732
"551",2.05087882074735,2.39327971082753
"552",0.783748537089684,0.562316758447127
"553",2.00890076750016,2.22068285337553
"554",2.14575782721928,2.57708341270341
"555",3.27530551753064,3.15662269495429
"556",0.966409414468485,0.960783172632773
"557",1.36148888796094,1.45635522178775
"558",2.84211833120948,2.86398121240201
"559",2.11268907996105,2.55503776898622
"560",0,0
"561",0,0
"562",0.582966718292016,0.291356131200928
"563",0,0
"564",0,0
"565",0.789226017696901,0.581994693334408
"566",1.08929106686114,1.345703061617
"567",2.59452273084622,2.45257348131822
"568",0.698284798721848,0.439340106161128
"569",3.58553050841257,2.7237921823568
"570",0,0
"571",1.78676021498924,1.68777600346231
"572",2.91817368338132,2.35924705540198
"573",0.686958814690521,0.533818917688244
"574",1.49156644094429,2.05744453620846
"575",0,0
"576",1.615368520979,1.70872159630899
"577",2.57524218372456,2.58940918303882
"578",1.0300426321317,1.05165786858889
"579",2.47118277460344,2.47750899459888
"580",0,0
"581",0,0
"582",1.01391445983712,1.14664343678621
"583",1.18008632132653,1.35799054045775
"584",1.45242322289371,2.02130447182674
"585",2.17602573026879,2.12403794809535
"586",1.47806338945479,1.9686012358158
"587",1.9721725767717,2.19743495076911
"588",1.0291377941895,1.35391031203397
"589",1.22989471851245,1.61848924065361
"590",2.72236547243423,2.65550270398956
"591",1.43219235793279,1.5326504563933
"592",2.69034220990648,3.25244374090071
"593",2.20698500443281,2.75464597550861
"594",1.43096502822419,1.52646706106129
"595",5.91149058521435,3.22610086541743
"596",3.17632184799493,2.82044267633312
"597",4.90142149857423,3.84608744277993
"598",1.97011858067846,2.60042019617895
"599",8.06331200185253,3.4185606358854
"600",1.26954955101197,1.67147637138774
"601",2.85389929291999,2.95032992963715
"602",3.60910698124287,3.71820994079556
"603",2.35950748193744,2.93320801214434
"604",2.72094412429702,2.86747525200034
"605",1.62480770072764,2.01293999746692
"606",2.23698502368284,2.43243349241336
"607",1.75300997703033,1.94077499640884
"608",2.45797607708183,2.39054536408525
"609",2.91817368338132,2.35924705540198
"610",2.73885371070362,2.71758842093637
"611",2.22728655309843,2.00803084208494
"612",2.32127212851774,2.21253778553779
"613",2.03173473602789,2.31277195418045
"614",2.18203790108224,2.75826026955809
"615",0.680771750196688,0.527566111592095
"616",0,0
"617",1.30663803049516,1.5175850741113
"618",2.01627680148628,2.02145688377606
"619",2.31117322729997,2.31501257870226
"620",0,0
"621",0,0
"622",1.92079050547875,2.24109635722307
"623",1.14906118749641,1.32353740660292
"624",1.52148474694355,1.92712089663951
"625",2.25068162926911,2.36403233089327
"626",0,0
"627",2.53091906057779,2.80428435790456
"628",2.42698911645484,2.86552398741479
"629",1.69658796556117,2.08052463142198
"630",2.31652468672773,2.91822317636704
"631",1.97934883673408,2.59710405763396
"632",2.51096192855871,2.95644778440815
"633",1.28037655382635,1.21155943755325
"634",1.579165772131,1.49807181058511
"635",1.6731620983567,2.20634765693401
"636",3.77628130931138,2.77623042984113
"637",2.51167765350131,3.4218394309874
"638",2.27298805001725,2.37342978834898
"639",2.67298905414698,3.46724150190514
"640",3.22754605497068,2.7741621805251
"641",3.11569134367647,3.74747961952179
"642",4.39167371766477,2.82185380114346
"643",1.96166766871124,2.09503538577346
"644",2.41091136355108,3.20102320927658
"645",1.5282195794844,1.74013658090644
"646",2.76671173488324,2.5297394516626
"647",1.58145188895021,2.12793363837141
"648",2.19773333009621,2.87211030852593
"649",2.35021836730384,3.04708135895368
"650",1.42653688031164,1.90955754449658
"651",2.14379959097617,3.02276207363614
"652",2.25542576540037,2.68484250733745
"653",1.26730393079427,1.57510510557781
"654",1.34045159935813,1.5522836187292
"655",2.91817368338132,2.35924705540198
"656",4.39167371766477,2.82185380114346
"657",1.99132087597464,2.53486382402315
"658",1.84544494189377,2.58031035670552
"659",2.08486393885253,2.26224441678166
"660",0.633609708849629,0.457287106593626
"661",1.90138124104985,2.30262848654335
"662",3.27838333388083,2.90221698568363
"663",1.91377124034746,2.62652259773774
"664",1.85488292477807,2.65000560507558
"665",1.24882991306664,1.32542673003093
"666",2.2222281134231,2.98206298639093
"667",2.35642113785241,2.72925151836418
"668",2.3085667489272,3.05072949709768
"669",2.01415912547882,2.37741871393621
"670",2.7204803825928,3.0474756717925
"671",2.36334386979091,2.56856725922633
"672",1.65321875315022,2.33172778285806
"673",2.43551023018573,2.90820085878636
"674",1.42187651173513,1.99017181309026
"675",1.50848015000179,2.13220308445689
"676",1.73202669772193,2.31528428310857
"677",1.55132151030437,2.0314112030122
"678",0.783748537089684,0.562316758447127
"679",2.94947522096594,2.60271055227957
"680",2.03763612189856,2.14124522589379
"681",2.00405982672724,2.35065467900889
"682",2.24296272638155,2.49578403476112
"683",2.80028520913271,3.03246069182621
"684",1.87274127865175,2.44837589221433
"685",1.63457704807784,2.31773814913815
"686",1.47944284472267,1.88901821900002
"687",1.94620866953323,2.39092963740415
"688",1.86918888736957,2.2068382600458
"689",1.31323576438324,1.80130787546054
"690",2.91817368338132,2.35924705540198
"691",0,0
"692",1.97352196814466,2.47861417679493
"693",1.99820388941819,2.53918196178858
"694",2.94949795070165,3.10935607528922
"695",8.38583207296438,3.33135726300695
"696",4.17210924767877,4.24690249240227
"697",2.31411130227274,3.35744841647934
"698",4.20546635477547,3.95310115808592
"699",3.54892602639847,3.55115753564528
"700",0,0
"701",2.56134187440388,2.80850382804539
"702",1.46648384363484,1.78774250251066
"703",3.095611916971,2.99686018817057
"704",4.01604461374214,2.84021713391052
"705",2.01879097572576,2.1326114574558
"706",2.22728655309843,2.00803084208494
"707",1.81493984953773,2.30495198420603
"708",4.64624078563027,3.04580932204151
"709",1.44976293323868,2.08044300639437
"710",3.53393757948956,3.16246776660884
"711",0.994517568592853,1.21147582814633
"712",1.43219235793279,1.5326504563933
"713",4.40439302239006,3.30412217855522
"714",5.61818171517533,4.18256723926351
"715",2.48503282559302,2.98664224892489
"716",0,0
"717",1.71947149621244,2.3136692337116
"718",1.54180888475331,1.94480787188495
"719",3.78745254412681,3.07106883852153
"720",1.00963494203992,1.14178345161617
"721",0.804834009682688,0.721935156715393
"722",2.69637096162103,3.24010498996812
"723",3.0266067514079,3.79678827552636
"724",2.26762471846759,2.96632822493196
"725",2.50577477927625,2.69609811976758
"726",3.01686612042328,3.2862170900001
"727",0,0
"728",0,0
"729",0,0
"730",0,0
"731",0,0
"732",0,0
"733",0,0
"734",0,0
"735",0,0
"736",0,0
"737",0,0
"738",0,0
"739",0,0
"740",0,0
"741",0,0
"742",0,0
"743",0,0
"744",0,0
"745",0,0
"746",0,0
"747",0,0
"748",0,0
"749",0,0
"750",0,0
"751",0,0
"752",0,0
"753",0,0
"754",0,0
"755",0,0
"756",0,0
"757",0,0
"758",0,0
"759",0,0
"760",0,0
"761",0,0
"762",0,0
